category,name,price,rating,review_count,url,zip
Fruits & Veggies,El Palacio De Los Jugos,$,4.0,429,https://www.yelp.com/biz/el-palacio-de-los-jugos-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33144
Seafood,SuViche - Wynwood,$$,4.0,646,https://www.yelp.com/biz/suviche-wynwood-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Italian,Vero,$$,4.5,301,https://www.yelp.com/biz/vero-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Catalan,NIU Kitchen,$$,4.5,309,https://www.yelp.com/biz/niu-kitchen-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33132
Tacos,Mi Rinconcito Mexicano,$,4.0,567,https://www.yelp.com/biz/mi-rinconcito-mexicano-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33135
American (New),Peacock Garden Cafe,$$,4.0,653,https://www.yelp.com/biz/peacock-garden-cafe-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33133
Chicken Shop,Mojo Donuts & Fried Chicken,$,4.5,325,https://www.yelp.com/biz/mojo-donuts-and-fried-chicken-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33165
Steakhouses,The Capital Grille,$$$,4.0,503,https://www.yelp.com/biz/the-capital-grille-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Seafood,The River Seafood & Oyster Bar,$$$,4.0,612,https://www.yelp.com/biz/the-river-seafood-and-oyster-bar-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33130
Japanese,NAOE,$$$$,4.5,283,https://www.yelp.com/biz/naoe-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Lounges,Prohibition Restaurant and Speakeasy,$$,4.0,630,https://www.yelp.com/biz/prohibition-restaurant-and-speakeasy-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Italian,The Big Cheese Of Miami,$$,4.0,576,https://www.yelp.com/biz/the-big-cheese-of-miami-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33143
Mediterranean,Crazy About You,$$,4.0,955,https://www.yelp.com/biz/crazy-about-you-miami-3?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Mexican,Taqueria Viva México,$,4.5,377,https://www.yelp.com/biz/taqueria-viva-m%C3%A9xico-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33130
Music Venues,Ball & Chain,$$,4.0,667,https://www.yelp.com/biz/ball-and-chain-miami-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33135
American (New),Wynwood Kitchen & Bar,$$,4.0,903,https://www.yelp.com/biz/wynwood-kitchen-and-bar-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Pizza,Andiamo,$$,4.0,736,https://www.yelp.com/biz/andiamo-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
Vegan,della bowls,$$,4.5,250,https://www.yelp.com/biz/della-bowls-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
American (New),Morgan's Restaurant,$$,3.5,1153,https://www.yelp.com/biz/morgans-restaurant-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33137
Mexican,Coyo Taco,$$,3.5,1073,https://www.yelp.com/biz/coyo-taco-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Mexican,Jacalito Taqueria Mexicana,$,4.0,451,https://www.yelp.com/biz/jacalito-taqueria-mexicana-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33135
Pizza,Mister 01- Brickell,$$,4.5,297,https://www.yelp.com/biz/mister-01-brickell-miami-4?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33131
Fast Food,Diced,$,4.5,379,https://www.yelp.com/biz/diced-west-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33155
Kosher,Zak The Baker,$$,4.0,460,https://www.yelp.com/biz/zak-the-baker-miami-7?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
Breakfast & Brunch,Swine Southern Table & Bar,$$$,4.0,1244,https://www.yelp.com/biz/swine-southern-table-and-bar-coral-gables-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33134
Dim Sum,Kon Chau Restaurant,$$,4.0,491,https://www.yelp.com/biz/kon-chau-restaurant-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33155
Cafes,Cream Parlor,$$,5.0,254,https://www.yelp.com/biz/cream-parlor-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33138
Cuban,El Mago De Las Fritas,$,4.5,244,https://www.yelp.com/biz/el-mago-de-las-fritas-west-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33144
Latin American,Jimmy'z Kitchen Wynwood,$$,4.0,567,https://www.yelp.com/biz/jimmyz-kitchen-wynwood-miami?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33127
American (New),Eating House,$$,4.0,938,https://www.yelp.com/biz/eating-house-coral-gables-2?adjust_creative=e1AJwhqcU3hPEpOOJGLaFQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e1AJwhqcU3hPEpOOJGLaFQ,33134
